FECHA (YYMMDD);HORA (HHMM);;
352,5-7,53,6%
7,5-22,53,7%
22,5-37,54,6%
37,5-52,56,2%
52,5-67,54,8%
67,5-82,53,0%
82,5-97,51,9%
97,5-112,51,4%
112,5-127,51,3%
127,5-142,51,3%
142,5-157,51,5%
157,5-172,52,0%
172,5-187,53,0%
187,5-202,54,2%
202,5-217,56,8%
217,5-232,58,6%
232,5-247,57,8%
247,5-262,56,8%
262,5-277,55,6%
277,5-292,54,7%
292,5-307,54,2%
307,5-322,54,2%
322,5-337,54,3%
337,5-352,54,3%
