FECHA (YYMMDD);HORA (HHMM);;
352,5-7,53,7%
7,5-22,52,7%
22,5-37,54,0%
37,5-52,59,8%
52,5-67,56,2%
67,5-82,57,2%
82,5-97,50,7%
97,5-112,50,5%
112,5-127,50,4%
127,5-142,50,4%
142,5-157,50,4%
157,5-172,50,5%
172,5-187,50,9%
187,5-202,53,0%
202,5-217,510,2%
217,5-232,513,4%
232,5-247,516,0%
247,5-262,57,3%
262,5-277,53,3%
277,5-292,52,0%
292,5-307,51,5%
307,5-322,51,7%
322,5-337,51,9%
337,5-352,52,3%
