FECHA (YYMMDD);HORA (HHMM);;
200316;0700;1007,02;
200316;0800;1007,6;
200316;0900;1008,02;
200316;1000;1008,02;
200316;1100;1008,01;
200316;1200;1007,82;
200316;1300;1007,04;
200316;1400;1007,04;
200316;1500;1007,03;
200316;1600;1006,91;
200316;1700;1007,02;
200316;1800;1007,68;
200316;1900;1008,34;
200316;2000;1009,01;
200316;2100;1009,68;
200316;2200;1010,01;
200316;2300;1010,01;
200317;0000;1010,09;
200317;0100;1010,93;
200317;0200;1010,43;
200317;0300;1010,01;
200317;0400;1010;
200317;0500;1010,33;
200317;0600;1011;
200317;0700;1011;
200317;0800;1011,92;
200317;0900;1012,04;
200317;1000;1012,04;
200317;1100;1012,03;
200317;1200;1011,39;
200317;1300;1010,52;
200317;1400;1010,02;
200317;1500;1009,94;
200317;1600;1009,75;
200317;1700;1010,01;
200317;1800;1010,01;
200317;1900;1010,01;
200317;2000;1010,59;
200317;2100;1011,01;
200317;2200;1011,01;
200317;2300;1011;
200318;0000;1011;
200318;0100;1010,58;
200318;0200;1010;
200318;0300;1010;
200318;0400;1009,17;
200318;0500;1009,88;
200318;0600;1009,97;
200318;0700;1010,05;
200318;0800;1010,05;
200318;0900;1010,04;
200318;1000;1010,82;
200318;1100;1011,03;
200318;1200;1010,53;
200318;1300;1010,02;
200318;1400;1010,02;
200318;1500;1009,02;
200318;1600;1009,35;
200318;1700;1010,01;
200318;1800;1010,84;
200318;1900;1011,67;
200318;2000;1012,33;
200318;2100;1013;
200318;2200;1013;
200318;2300;1014;
200319;0000;1013;
200319;0100;1013,07;
200319;0200;1013,07;
200319;0300;1013,07;
200319;0400;1013,07;
200319;0500;1013,06;
200319;0600;1013,06;
200319;0700;1013,06;
200319;0800;1013,06;
200319;0900;1013,05;
200319;1000;1013,05;
200319;1100;1013,04;
200319;1200;1012,93;
200319;1300;1012,03;
200319;1400;1011,58;
200319;1500;1011,02;
200319;1600;1010,01;
200319;1700;1010,01;
200319;1800;1010;
200319;1900;1010;
200319;2000;1010,67;
200319;2100;1011,03;
200319;2200;1011,03;
200319;2300;1010,95;
200320;0000;1010,02;
200320;0100;1010,02;
200320;0200;1009,02;
200320;0300;1008,29;
200320;0400;1007,6;
200320;0500;1007,02;
200320;0600;1007,02;
200320;0700;1006,6;
200320;0800;1006,01;
200320;0900;1006,01;
200320;1000;1006,01;
200320;1100;1006,01;
200320;1200;1005,26;
200320;1300;1004,43;
200320;1400;1003,92;
200320;1500;1003;
200320;1600;1002,4;
200320;1700;1002,02;
200320;1800;1002,02;
200320;1900;1002,27;
200320;2000;1003,02;
200320;2100;1003,69;
200320;2200;1004,02;
200320;2300;1004,02;
200321;0000;1004,02;
200321;0100;1004,02;
200321;0200;1004,02;
200321;0300;1003,31;
200321;0400;1003,01;
200321;0500;1003,01;
200321;0600;1003,09;
200321;0700;1004,01;
200321;0800;1004,93;
200321;0900;1005,09;
200321;1000;1005,84;
200321;1100;1006;
200321;1200;1006;
200321;1300;1006,02;
200321;1400;1006,02;
200321;1500;1006,02;
200321;1600;1006,02;
200321;1700;1006,02;
200321;1800;1006,01;
200321;1900;1006,01;
200321;2000;1006,01;
200321;2100;1006,93;
200321;2200;1007,01;
200321;2300;1007,59;
200322;0000;1008,01;
200322;0100;1008,01;
200322;0200;1007,34;
200322;0300;1007,01;
200322;0400;1007;
200322;0500;1006,83;
200322;0600;1007;
200322;0700;1007;
200322;0800;1007,33;
200322;0900;1008,02;
200322;1000;1008,02;
200322;1100;1007,84;
200322;1200;1007,02;
200322;1300;1006,59;
200322;1400;1006,01;
200322;1500;1005,68;
200322;1600;1005,01;
200322;1700;1005,01;
200322;1800;1005,01;
200322;1900;1005,01;
200322;2000;1005,01;
200322;2100;1005,01;
200322;2200;1005,68;
200322;2300;1006;
200323;0000;1006;
200323;0100;1005,5;
200323;0200;1005;
200323;0300;1005;
200323;0400;1005;
200323;0500;1004,21;
200323;0600;1005,04;
200323;0700;1005,04;
200323;0800;1005,79;
200323;0900;1005,96;
200323;1000;1006,03;
200323;1100;1005,03;
200323;1200;1005,13;
200323;1300;1005,03;
200323;1400;1005,03;
200323;1500;1005,02;
200323;1600;1004,01;
200323;1700;1004,43;
200323;1800;1005;
200323;1900;1005,83;
200323;2000;1006;
200323;2100;1006,33;
200323;2200;1007;
200323;2300;1007;
200324;0000;1007,08;
200324;0100;1007,03;
200324;0200;1007,03;
200324;0300;1007,03;
200324;0400;1007,03;
200324;0500;1007,03;
200324;0600;1007,02;
200324;0700;1007,94;
200324;0800;1008,02;
200324;0900;1009,02;
200324;1000;1009,02;
200324;1100;1009,01;
200324;1200;1009,01;
200324;1300;1009,01;
200324;1400;1009,01;
200324;1500;1009,01;
200324;1600;1009,01;
200324;1700;1009;
200324;1800;1009;
200324;1900;1009,92;
200324;2000;1010,67;
200324;2100;1011,04;
200324;2200;1011,96;
200324;2300;1012,04;
200325;0000;1012,03;
200325;0100;1011,36;
200325;0200;1011,03;
200325;0300;1011,03;
200325;0400;1010,28;
200325;0500;1010,03;
200325;0600;1010,03;
200325;0700;1010,03;
200325;0800;1010,03;
200325;0900;1010,02;
200325;1000;1010,02;
200325;1100;1009,13;
200325;1200;1008,34;
200325;1300;1007,45;
200325;1400;1006,26;
200325;1500;1005,67;
200325;1600;1005;
200325;1700;1005,04;
200325;1800;1005,04;
200325;1900;1005,04;
200325;2000;1005,21;
200325;2100;1006,03;
200325;2200;1005,95;
200325;2300;1005,03;
200326;0000;1005,03;
200326;0100;1005,03;
200326;0200;1004,45;
200326;0300;1004,03;
200326;0400;1003,7;
200326;0500;1003,03;
200326;0600;1003,03;
200326;0700;1003,77;
200326;0800;1004,02;
200326;0900;1004,01;
200326;1000;1003,12;
200326;1100;1003;
200326;1200;1002,92;
200326;1300;1002,02;
200326;1400;1002,02;
200326;1500;1001,02;
200326;1600;1001,02;
200326;1700;1001,02;
200326;1800;1001,02;
200326;1900;1001,68;
200326;2000;1002,26;
200326;2100;1002,84;
200326;2200;1003,51;
200326;2300;1004,01;
200327;0000;1004,01;
200327;0100;1004,01;
200327;0200;1004,01;
200327;0300;1003,84;
200327;0400;1003,43;
200327;0500;1004;
200327;0600;1004;
200327;0700;1005;
200327;0800;1005,33;
200327;0900;1006,04;
200327;1000;1006,04;
200327;1100;1006,81;
200327;1200;1007,03;
200327;1300;1006,36;
200327;1400;1006,03;
200327;1500;1005,02;
200327;1600;1004,61;
200327;1700;1004,01;
200327;1800;1004,01;
200327;1900;1004,34;
200327;2000;1005,01;
200327;2100;1006,01;
200327;2200;1006,01;
200327;2300;1006;
200328;0000;1006;
200328;0100;1006;
200328;0200;1006;
200328;0300;1006;
200328;0400;1005,58;
200328;0500;1005,03;
200328;0600;1005,78;
200328;0700;1006,02;
200328;0800;1006,6;
200328;0900;1007,27;
200328;1000;1008,02;
200328;1100;1008,02;
200328;1200;1008,68;
200328;1300;1009,01;
200328;1400;1009,01;
200328;1500;1009,01;
200328;1600;1009,01;
200328;1700;1009,68;
200328;1800;1010;
200328;1900;1010,17;
200328;2000;1011;
200328;2100;1011;
200328;2200;1011;
200328;2300;1011,83;
200329;0000;1012;
200329;0100;1012,03;
200329;0200;1012,03;
200329;0300;1012,02;
200329;0400;1011,19;
200329;0500;1011,27;
200329;0600;1011,77;
200329;0700;1012,02;
200329;0800;1012,02;
200329;0900;1012,77;
200329;1000;1013,02;
200329;1100;1013,01;
200329;1200;1012,26;
200329;1300;1012,01;
200329;1400;1012,01;
200329;1500;1012,01;
200329;1600;1011,67;
200329;1700;1012;
200329;1800;1012;
200329;1900;1012,5;
200329;2000;1013;
200329;2100;1013,29;
200329;2200;1013,31;
200329;2300;1013,04;
200330;0000;1013,04;
200330;0100;1013,04;
200330;0200;1012,46;
200330;0300;1012,03;
200330;0400;1012,03;
200330;0500;1011,78;
200330;0600;1011,11;
200330;0700;1011,2;
200330;0800;1011,95;
200330;0900;1012,03;
200330;1000;1011,77;
200330;1100;1011,02;
200330;1200;1010,68;
200330;1300;1010,01;
200330;1400;1009,68;
200330;1500;1009,01;
200330;1600;1008,33;
200330;1700;1008,03;
200330;1800;1008,69;
200330;1900;1009,02;
200330;2000;1009,44;
200330;2100;1009,77;
200330;2200;1010,02;
200330;2300;1010,02;
200331;0000;1009,94;
200331;0100;1009,02;
200331;0200;1009,01;
200331;0300;1009,01;
200331;0400;1009,01;
200331;0500;1009,01;
200331;0600;1009,34;
200331;0700;1010,01;
200331;0800;1010,01;
200331;0900;1010,01;
200331;1000;1010,46;
200331;1100;1010,92;
200331;1200;1010,2;
200331;1300;1010,02;
200331;1400;1010,02;
200331;1500;1010,02;
200331;1600;1010,02;
200331;1700;1010,52;
200331;1800;1011,01;
200331;1900;1011,93;
200331;2000;1012,43;
200331;2100;1013,01;
200331;2200;1013,59;
200331;2300;1014,01;
200401;0000;1014,01;
200401;0100;1014,34;
200401;0200;1015,01;
200401;0300;1015,01;
200401;0400;1015,01;
200401;0500;1015;
200401;0600;1015,67;
200401;0700;1016;
200401;0800;1016,92;
200401;0900;1017,03;
200401;1000;1017,02;
200401;1100;1017,02;
200401;1200;1017,02;
200401;1300;1016,1;
200401;1400;1015,69;
200401;1500;1015,26;
200401;1600;1015,01;
200401;1700;1015,01;
200401;1800;1015,18;
200401;1900;1016,01;
200401;2000;1016,68;
200401;2100;1017,01;
200401;2200;1017,01;
200401;2300;1017;
200402;0000;1016,58;
200402;0100;1016;
200402;0200;1016;
200402;0300;1015,42;
200402;0400;1014,58;
200402;0500;1014,03;
200402;0600;1014,03;
200402;0700;1014,03;
200402;0800;1014,03;
200402;0900;1014,03;
200402;1000;1013,23;
200402;1100;1012,1;
200402;1200;1011,19;
200402;1300;1010,19;
200402;1400;1009,34;
200402;1500;1008,51;
200402;1600;1008,01;
200402;1700;1008,01;
200402;1800;1008,01;
200402;1900;1008,01;
200402;2000;1008;
200402;2100;1008;
200402;2200;1008,82;
200402;2300;1009;
200403;0000;1008,92;
200403;0100;1008,2;
200403;0200;1008,03;
200403;0300;1007,95;
200403;0400;1007,03;
200403;0500;1007,02;
200403;0600;1007,02;
200403;0700;1007,77;
200403;0800;1008,02;
200403;0900;1008,02;
200403;1000;1008,02;
200403;1100;1008,01;
200403;1200;1007,68;
200403;1300;1007,01;
200403;1400;1006,84;
200403;1500;1006;
200403;1600;1006;
200403;1700;1006;
200403;1800;1006;
200403;1900;1006,17;
200403;2000;1007;
200403;2100;1007,02;
200403;2200;1007,02;
200403;2300;1007,02;
200404;0000;1007,02;
200404;0100;1007,02;
200404;0200;1007,02;
200404;0300;1007,02;
200404;0400;1007,02;
200404;0500;1007,02;
200404;0600;1007,84;
200404;0700;1008,01;
200404;0800;1008,01;
200404;0900;1008,01;
200404;1000;1008,01;
200404;1100;1007,21;
200404;1200;1006,5;
200404;1300;1005,75;
200404;1400;1004,83;
200404;1500;1004;
200404;1600;1004;
200404;1700;1004,03;
200404;1800;1004,1;
200404;1900;1005,02;
200404;2000;1005,85;
200404;2100;1006,52;
200404;2200;1007,02;
200404;2300;1007,02;
200405;0000;1007,94;
200405;0100;1008,02;
200405;0200;1008,43;
200405;0300;1009,01;
200405;0400;1009,01;
200405;0500;1009,01;
200405;0600;1009,68;
200405;0700;1010,01;
200405;0800;1010,26;
200405;0900;1011,26;
200405;1000;1012,01;
200405;1100;1012,33;
200405;1200;1013;
200405;1300;1013,02;
200405;1400;1013,02;
200405;1500;1012,77;
200405;1600;1013,02;
200405;1700;1013,02;
200405;1800;1014,01;
200405;1900;1014,18;
200405;2000;1015,01;
200405;2100;1015,68;
200405;2200;1016,74;
200405;2300;1017,26;
200406;0000;1018,01;
200406;0100;1018,01;
200406;0200;1017,93;
200406;0300;1017,01;
200406;0400;1017;
200406;0500;1016,92;
200406;0600;1016,42;
200406;0700;1017;
200406;0800;1016,83;
200406;0900;1017,03;
200406;1000;1016,61;
200406;1100;1016,02;
200406;1200;1015,02;
200406;1300;1014,1;
200406;1400;1013,01;
200406;1500;1012,43;
200406;1600;1012,01;
200406;1700;1011,84;
200406;1800;1011,01;
200406;1900;1011,01;
200406;2000;1011,09;
200406;2100;1011,93;
200406;2200;1011,34;
200406;2300;1011,84;
200407;0000;1011;
200407;0100;1011;
200407;0200;1010,83;
200407;0300;1010;
200407;0400;1009,5;
200407;0500;1009,03;
200407;0600;1009,03;
200407;0700;1009,02;
200407;0800;1009,02;
200407;0900;1009,02;
200407;1000;1008,27;
200407;1100;1008,02;
200407;1200;1007,01;
200407;1300;1006,34;
200407;1400;1005,26;
200407;1500;1004,43;
200407;1600;1004,01;
200407;1700;1004,01;
200407;1800;1004,01;
200407;1900;1004,01;
200407;2000;1004,25;
200407;2100;1005;
200407;2200;1005;
200407;2300;1005;
200408;0000;1005;
200408;0100;1005,03;
200408;0200;1005,03;
200408;0300;1005,03;
200408;0400;1004,28;
200408;0500;1004,95;
200408;0600;1004,03;
200408;0700;1004,1;
200408;0800;1004,19;
200408;0900;1005,02;
200408;1000;1005,02;
200408;1100;1005,01;
200408;1200;1004,09;
200408;1300;1004,01;
200408;1400;1003,76;
200408;1500;1003;
200408;1600;1003;
200408;1700;1003;
200408;1800;1004;
200408;1900;1004,92;
200408;2000;1005,92;
200408;2100;1006,2;
200408;2200;1007,03;
200408;2300;1007,67;
200409;0000;1008,03;
200409;0100;1008,03;
200409;0200;1008,03;
200409;0300;1008,02;
200409;0400;1008,02;
200409;0500;1008,02;
200409;0600;1008,19;
200409;0700;1009,02;
200409;0800;1009,02;
200409;0900;1009,02;
200409;1000;1009,02;
200409;1100;1009,01;
200409;1200;1009,01;
200409;1300;1009;
200409;1400;1008,08;
200409;1500;1007,83;
200409;1600;1007;
200409;1700;1007,04;
200409;1800;1007,28;
200409;1900;1008,11;
200409;2000;1009,03;
200409;2100;1009,03;
200409;2200;1009,03;
200409;2300;1009,03;
200410;0000;1009,03;
200410;0100;1009,03;
200410;0200;1009,03;
200410;0300;1008,36;
200410;0400;1008,02;
200410;0500;1008,02;
200410;0600;1008,02;
200410;0700;1008,02;
200410;0800;1008,02;
200410;0900;1008,02;
200410;1000;1008,01;
200410;1100;1008;
200410;1200;1008;
200410;1300;1008,03;
200410;1400;1007,36;
200410;1500;1007,03;
200410;1600;1007,02;
200410;1700;1007,02;
200410;1800;1008,01;
200410;1900;1008,43;
200410;2000;1009,01;
200410;2100;1009,01;
200410;2200;1009,1;
200410;2300;1010,01;
200411;0000;1010,01;
200411;0100;1010,01;
200411;0200;1010,01;
200411;0300;1010,01;
200411;0400;1010;
200411;0500;1010;
200411;0600;1010,17;
200411;0700;1011;
200411;0800;1011,25;
200411;0900;1012,02;
200411;1000;1012,52;
200411;1100;1012,69;
200411;1200;1012,02;
200411;1300;1011,93;
200411;1400;1011,01;
200411;1500;1011,01;
200411;1600;1011,01;
200411;1700;1011,01;
200411;1800;1011,18;
200411;1900;1012,01;
200411;2000;1012,26;
200411;2100;1012,93;
200411;2200;1013,01;
200411;2300;1013;
200412;0000;1013;
200412;0100;1013;
200412;0200;1013;
200412;0300;1012,92;
200412;0400;1012;
200412;0500;1012,52;
200412;0600;1013,02;
200412;0700;1013,02;
200412;0800;1013,44;
200412;0900;1014,02;
200412;1000;1014,02;
200412;1100;1014,01;
200412;1200;1014,01;
200412;1300;1013,93;
200412;1400;1013,01;
200412;1500;1013,01;
200412;1600;1013,01;
200412;1700;1013,01;
200412;1800;1013,51;
200412;1900;1014,25;
200412;2000;1015;
200412;2100;1015;
200412;2200;1015,36;
200412;2300;1016;
200413;0000;1016;
200413;0100;1016,2;
200413;0200;1017,03;
200413;0300;1017,03;
200413;0400;1017,03;
200413;0500;1017,03;
200413;0600;1017,03;
200413;0700;1017,03;
200413;0800;1017,19;
200413;0900;1017,77;
200413;1000;1017,94;
200413;1100;1017,02;
200413;1200;1016,84;
200413;1300;1016,01;
200413;1400;1015,51;
200413;1500;1014,68;
200413;1600;1014,01;
200413;1700;1014;
200413;1800;1014;
200413;1900;1014;
200413;2000;1014;
200413;2100;1014,03;
200413;2200;1014,03;
200413;2300;1014,03;
200414;0000;1013,1;
200414;0100;1012,94;
200414;0200;1012,02;
200414;0300;1011,85;
200414;0400;1011,02;
200414;0500;1011,02;
200414;0600;1011,02;
200414;0700;1011,02;
200414;0800;1010,94;
200414;0900;1010,92;
200414;1000;1010,51;
200414;1100;1010,01;
200414;1200;1009,5;
200414;1300;1008,83;
200414;1400;1007,75;
200414;1500;1007;
200414;1600;1007;
200414;1700;1007,03;
200414;1800;1007,03;
200414;1900;1007,03;
200414;2000;1007,86;
200414;2100;1008,03;
200414;2200;1008,02;
200414;2300;1007,94;
200415;0000;1007,77;
200415;0100;1007,02;
200415;0200;1007,02;
200415;0300;1007,02;
200415;0400;1007,02;
200415;0500;1007,02;
200415;0600;1007,02;
200415;0700;1007,02;
200415;0800;1007,01;
200415;0900;1007,76;
200415;1000;1008,01;
200415;1100;1008,01;
200415;1200;1008,83;
200415;1300;1009,02;
200415;1400;1008,1;
200415;1500;1008,02;
200415;1600;1008,02;
200415;1700;1008,85;
200415;1800;1009,34;
200415;1900;1010,01;
200415;2000;1010,01;
200415;2100;1010,01;
200415;2200;1010,01;
200415;2300;1010,01;
200416;0000;1010,01;
200416;0100;1010,01;
200416;0200;1010,01;
200416;0300;1010,01;
200416;0400;1010;
200416;0500;1010;
200416;0600;1009,67;
200416;0700;1010;
200416;0800;1010,25;
200416;0900;1011,54;
200416;1000;1011,37;
200416;1100;1011,7;
200416;1200;1012,03;
200416;1300;1011,53;
200416;1400;1011,03;
200416;1500;1011,02;
200416;1600;1011,02;
200416;1700;1011,02;
200416;1800;1010,67;
200416;1900;1010,7;
200416;2000;1011,5;
200416;2100;1011,67;
200416;2200;1011,64;
200416;2300;1011,08;
200417;0000;1011;
200417;0100;1011;
200417;0200;1011;
200417;0300;1011;
200417;0400;1011;
200417;0500;1011,04;
200417;0600;1011,04;
200417;0700;1011,04;
200417;0800;1010,79;
200417;0900;1010,96;
200417;1000;1010,04;
200417;1100;1010,03;
200417;1200;1009,95;
200417;1300;1009,03;
200417;1400;1008,6;
200417;1500;1008,01;
200417;1600;1008,01;
200417;1700;1008,01;
200417;1800;1008,01;
200417;1900;1008,34;
200417;2000;1008;
200417;2100;1008;
200417;2200;1008;
200417;2300;1008;
200418;0000;1008;
200418;0100;1008,03;
200418;0200;1008,02;
200418;0300;1007,77;
200418;0400;1007,02;
200418;0500;1007,02;
200418;0600;1007,77;
200418;0700;1008,02;
200418;0800;1008,02;
200418;0900;1008,69;
200418;1000;1009,02;
200418;1100;1009,01;
200418;1200;1009,01;
200418;1300;1009,01;
200418;1400;1008,83;
200418;1500;1008,83;
200418;1600;1009;
200418;1700;1009;
200418;1800;1009,58;
200418;1900;1010;
200418;2000;1010,58;
200418;2100;1011,03;
200418;2200;1011,21;
200418;2300;1011,77;
200419;0000;1012,02;
200419;0100;1012,02;
200419;0200;1012,02;
200419;0300;1012,02;
200419;0400;1012,02;
200419;0500;1012,02;
200419;0600;1012,27;
200419;0700;1013,02;
200419;0800;1013,01;
200419;0900;1013,43;
200419;1000;1013,68;
200419;1100;1013,58;
200419;1200;1013,25;
200419;1300;1013;
200419;1400;1013;
200419;1500;1013;
200419;1600;1013;
200419;1700;1013,03;
200419;1800;1013,03;
200419;1900;1013,86;
200419;2000;1014,03;
200419;2100;1014,03;
200419;2200;1014,3;
200419;2300;1015,02;
200420;0000;1015,02;
200420;0100;1015,02;
200420;0200;1014,69;
200420;0300;1014,27;
200420;0400;1014,02;
200420;0500;1014,02;
200420;0600;1014,02;
200420;0700;1014,02;
200420;0800;1015,01;
200420;0900;1015,01;
200420;1000;1015,26;
200420;1100;1015,11;
200420;1200;1015;
200420;1300;1014,29;
200420;1400;1013,61;
200420;1500;1013,03;
200420;1600;1013,03;
200420;1700;1013,03;
200420;1800;1012,53;
200420;1900;1013,02;
200420;2000;1013,01;
200420;2100;1013,01;
200420;2200;1013,01;
200420;2300;1013,34;
200421;0000;1013,01;
200421;0100;1013,01;
200421;0200;1013,01;
200421;0300;1012,09;
200421;0400;1011,34;
200421;0500;1011,08;
200421;0600;1011;
200421;0700;1011;
200421;0800;1011;
200421;0900;1011,06;
200421;1000;1011,05;
200421;1100;1011,05;
200421;1200;1010,79;
200421;1300;1010,04;
200421;1400;1009,04;
200421;1500;1008,04;
200421;1600;1008,03;
200421;1700;1008,03;
200421;1800;1008,02;
200421;1900;1008,02;
200421;2000;1008,9;
200421;2100;1009,01;
200421;2200;1009,01;
200421;2300;1009;
200422;0000;1009;
200422;0100;1008,5;
200422;0200;1008,08;
200422;0300;1008;
200422;0400;1007;
200422;0500;1007,05;
200422;0600;1007,05;
200422;0700;1007,04;
200422;0800;1007,04;
200422;0900;1007,04;
200422;1000;1006,79;
200422;1100;1006,03;
200422;1200;1005,35;
200422;1300;1005,02;
200422;1400;1003,84;
200422;1500;1003,01;
200422;1600;1002,09;
200422;1700;1002,18;
200422;1800;1002,01;
200422;1900;1002,01;
200422;2000;1002,5;
200422;2100;1003;
200422;2200;1003;
200422;2300;1003,67;
200423;0000;1003,17;
200423;0100;1003,11;
200423;0200;1003,03;
200423;0300;1002,19;
200423;0400;1002,02;
200423;0500;1001,94;
200423;0600;1002,35;
200423;0700;1002,85;
200423;0800;1003,02;
200423;0900;1003,02;
200423;1000;1003,94;
200423;1100;1004,01;
200423;1200;1004,01;
200423;1300;1003,01;
200423;1400;1002,43;
200423;1500;1002;
200423;1600;1002;
200423;1700;1002;
200423;1800;1002;
200423;1900;1002;
200423;2000;1002,08;
200423;2100;1001,54;
200423;2200;1001,4;
200423;2300;1001,62;
200424;0000;1001,96;
200424;0100;1001,21;
200424;0200;1001,04;
200424;0300;1001,03;
200424;0400;1001,03;
200424;0500;1001,03;
200424;0600;1001,03;
200424;0700;1001,03;
200424;0800;1001,03;
200424;0900;1001,2;
200424;1000;1001,03;
200424;1100;1001,02;
200424;1200;1001,02;
200424;1300;1001,02;
200424;1400;1000,59;
200424;1500;1000,41;
200424;1600;1000,44;
200424;1700;1000,94;
200424;1800;1001,11;
200424;1900;1002,61;
200424;2000;1003,6;
200424;2100;1004,02;
200424;2200;1004,19;
200424;2300;1005,02;
200425;0000;1005,02;
200425;0100;1005,02;
200425;0200;1005,27;
200425;0300;1006,02;
200425;0400;1005,1;
200425;0500;1005,02;
200425;0600;1005,68;
200425;0700;1006,01;
200425;0800;1006,01;
200425;0900;1006,76;
200425;1000;1007,01;
200425;1100;1007,01;
200425;1200;1006,78;
200425;1300;1007,02;
200425;1400;1007,02;
200425;1500;1007,52;
200425;1600;1008,02;
200425;1700;1008,02;
200425;1800;1008,09;
200425;1900;1009,01;
200425;2000;1009,01;
200425;2100;1009,01;
200425;2200;1009,01;
200425;2300;1009,01;
200426;0000;1008,68;
200426;0100;1008,01;
200426;0200;1007,51;
200426;0300;1006,76;
200426;0400;1006;
200426;0500;1005,58;
200426;0600;1005;
200426;0700;1005;
200426;0800;1005,67;
200426;0900;1006,19;
200426;1000;1007,02;
200426;1100;1007,02;
200426;1200;1007,02;
200426;1300;1007,01;
200426;1400;1006,51;
200426;1500;1006,93;
200426;1600;1006,93;
200426;1700;1007,01;
200426;1800;1007,01;
200426;1900;1007,01;
200426;2000;1007,01;
200426;2100;1007,43;
200426;2200;1008,01;
200426;2300;1008;
200427;0000;1008;
200427;0100;1007,67;
200427;0200;1008;
200427;0300;1008;
200427;0400;1008;
200427;0500;1008,03;
200427;0600;1008,11;
200427;0700;1009,03;
200427;0800;1009,03;
200427;0900;1009,36;
200427;1000;1009,03;
200427;1100;1009,02;
200427;1200;1009,01;
200427;1300;1009,01;
200427;1400;1008,76;
200427;1500;1008,01;
200427;1600;1008,68;
200427;1700;1009,01;
200427;1800;1009,68;
200427;1900;1010,08;
200427;2000;1011;
200427;2100;1011,25;
200427;2200;1012;
200427;2300;1012,25;
200428;0000;1013;
200428;0100;1013,03;
200428;0200;1013,03;
200428;0300;1013,02;
200428;0400;1014,02;
200428;0500;1014,02;
200428;0600;1014,02;
200428;0700;1014,85;
200428;0800;1015,02;
200428;0900;1015,94;
200428;1000;1016,02;
200428;1100;1016,02;
200428;1200;1016,01;
200428;1300;1016,01;
200428;1400;1015,59;
200428;1500;1015,01;
200428;1600;1015,34;
200428;1700;1015,83;
200428;1800;1015;
200428;1900;1015;
200428;2000;1015,08;
200428;2100;1016,03;
200428;2200;1015,03;
200428;2300;1015,03;
200429;0000;1015,03;
200429;0100;1014,28;
200429;0200;1013,7;
200429;0300;1013,03;
200429;0400;1012,1;
200429;0500;1012,02;
200429;0600;1011,35;
200429;0700;1011,02;
200429;0800;1011,02;
200429;0900;1011,02;
200429;1000;1011,01;
200429;1100;1011,01;
200429;1200;1011,01;
200429;1300;1010,92;
200429;1400;1010;
200429;1500;1010;
200429;1600;1010;
200429;1700;1009,95;
200429;1800;1010,2;
200429;1900;1011,03;
200429;2000;1011,7;
200429;2100;1012,03;
200429;2200;1011,85;
200429;2300;1012,03;
200430;0000;1012,03;
200430;0100;1012,02;
200430;0200;1012,02;
200430;0300;1012,02;
200430;0400;1012,02;
200430;0500;1012,02;
200430;0600;1012,77;
200430;0700;1013,02;
200430;0800;1013,6;
200430;0900;1014,02;
200430;1000;1014,01;
200430;1100;1014,01;
200430;1200;1014;
200430;1300;1014,04;
200430;1400;1013,03;
200430;1500;1012,03;
200430;1600;1012,02;
200430;1700;1012,02;
200430;1800;1012,02;
200430;1900;1012,01;
200430;2000;1012,01;
200430;2100;1012,01;
200430;2200;1012,01;
200430;2300;1012,01;
200501;0000;1011,59;
200501;0100;1010,84;
200501;0200;1011,01;
200501;0300;1010,18;
200501;0400;1009,67;
200501;0500;1009;
200501;0600;1009,58;
200501;0700;1009;
200501;0800;1009,83;
200501;0900;1010,02;
200501;1000;1010,02;
200501;1100;1010,02;
200501;1200;1010,02;
200501;1300;1010,01;
200501;1400;1009,09;
200501;1500;1008,09;
200501;1600;1008,01;
200501;1700;1008,01;
200501;1800;1008,01;
200501;1900;1008,01;
200501;2000;1008,59;
200501;2100;1008,84;
200501;2200;1008,21;
200501;2300;1008,83;
200502;0000;1008,25;
200502;0100;1008;
200502;0200;1008;
200502;0300;1007,92;
200502;0400;1007,83;
200502;0500;1007,21;
200502;0600;1007,35;
200502;0700;1007,02;
200502;0800;1007,69;
200502;0900;1008,19;
200502;1000;1009,02;
200502;1100;1009,01;
200502;1200;1009,01;
200502;1300;1009,43;
200502;1400;1009,01;
200502;1500;1009,01;
200502;1600;1009,01;
200502;1700;1009,01;
200502;1800;1009,76;
200502;1900;1010;
200502;2000;1010;
200502;2100;1010;
200502;2200;1010;
200502;2300;1010;
200503;0000;1010;
200503;0100;1010,02;
200503;0200;1010,02;
200503;0300;1010,02;
200503;0400;1010,02;
200503;0500;1010,02;
200503;0600;1010,02;
200503;0700;1010,02;
200503;0800;1010,52;
200503;0900;1010,6;
200503;1000;1011,01;
200503;1100;1011,01;
200503;1200;1011,01;
200503;1300;1011,01;
200503;1400;1010,65;
200503;1500;1010;
