FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
090109;2300;;7,2;;
090110;0000;;6,6;;
090110;0100;;6,8;;
090110;0200;;6,7;;
090110;0300;;3,7;;
090110;0400;;3,8;;
090110;0500;;3;;
090110;0600;;6;;
090110;0700;;13,5;;
090110;0800;;14;;
090110;0900;;8,09998;;
090110;1000;;9,29999;;
090110;1100;;19,1;;
090110;1200;;23,6;;
090110;1300;;33,7;;
090110;1400;;35,5;;
090110;1500;;30,3;;
090110;1600;;25,6;;
090110;1700;;13,5;;
090110;1800;;11,8;;
090110;1900;;19;;
090110;2000;;12,5;;
090110;2100;;8,39998;;
090110;2200;;5,39999;;
090110;2300;;3,2;;
090111;0000;;5,8;;
090111;0100;;6,39999;;
090111;0200;;5,2;;
090111;0300;;6;;
090111;0400;;5,1;;
090111;0500;;8,79999;;
090111;0600;;8,79999;;
090111;0700;;14,2;;
090111;0800;;11,6;;
090111;0900;;19,4;;
090111;1000;;23,9;;
090111;1100;;16,5;;
090111;1200;;25,7;;
090111;1300;;22,4;;
090111;1400;;17,9;;
090111;1500;;11,4;;
090111;1600;;7,89999;;
090111;1700;;1,7;;
090111;1800;;20,6;;
090111;1900;;12,2;;
090111;2000;;10,2;;
090111;2100;;9,2;;
090111;2200;;6,8;;
090111;2300;;6;;
090112;0000;;4,3;;
090112;0100;;3,3;;
090112;0200;;4,8;;
090112;0300;;5,1;;
090112;0400;;4,6;;
090112;0500;;4,39999;;
090112;0600;;7,39999;;
090112;0700;;6;;
090112;0800;;7,39999;;
090112;0900;;12,7;;
090112;1000;;18,2;;
090112;1100;;21,6;;
090112;1200;;25,4;;
090112;1300;;28,4;;
090112;1400;;36,3;;
090112;1500;;20,8;;
090112;1600;;10,3;;
090112;1700;;3,7;;
090112;1800;;2,9;;
090112;1900;;3;;
090112;2000;;3,1;;
090112;2100;;4,3;;
090112;2200;;4,89999;;
090112;2300;;5,89999;;
090113;0000;;3,1;;
090113;0100;;4,7;;
090113;0200;;4,89999;;
090113;0300;;3,9;;
090113;0400;;8,39998;;
090113;0500;;3;;
090113;0600;;18,1;;
090113;0700;;12,6;;
090113;0800;;16,3;;
090113;0900;;38,7;;
090113;1000;;33,9;;
090113;1100;;20,7;;
090113;1200;;14,7;;
090113;1300;;17,7;;
090113;1400;;13,4;;
090113;1500;;16;;
090113;1600;;17,8;;
090113;1700;;22,5;;
090113;1800;;17,8;;
090113;1900;;11,8;;
090113;2000;;10;;
090113;2100;;7,8;;
090113;2200;;7,1;;
090113;2300;;5,39999;;
090114;0000;;6,5;;
090114;0100;;3,3;;
090114;0200;;1,8;;
090114;0300;;1,7;;
090114;0400;;4,2;;
090114;0500;;4,7;;
090114;0600;;5;;
090114;0700;;6,5;;
090114;0800;;7,39999;;
090114;0900;;9,39998;;
090114;1000;;7,6;;
090114;1100;;4;;
090114;1200;;3,9;;
090114;1300;;24;;
090114;1400;;32;;
090114;1500;;18,8;;
090114;1600;;14;;
090114;1700;;3,1;;
090114;1800;;3,1;;
090114;1900;;15,4;;
090114;2000;;8;;
090114;2100;;4,39999;;
090114;2200;;3,9;;
090114;2300;;4,5;;
090115;0000;;4,6;;
090115;0100;;2,3;;
090115;0200;;1,3;;
090115;0300;;2,9;;
090115;0400;;3,8;;
090115;0500;;8,2;;
090115;0600;;16;;
090115;0700;;12,9;;
090115;0800;;7,6;;
090115;0900;;7,39999;;
090115;1000;;7,7;;
090115;1100;;18,2;;
090115;1200;;13,4;;
090115;1300;;13,4;;
090115;1400;;9,09998;;
090115;1500;;12,1;;
090115;1600;;6,5;;
090115;1700;;1,1;;
090115;1800;;3,1;;
090115;1900;;4,1;;
090115;2000;;5,2;;
090115;2100;;6,6;;
090115;2200;;6,8;;
090115;2300;;3,9;;
090116;0000;;3,6;;
090116;0100;;5,39999;;
090116;0200;;6,5;;
090116;0300;;4,7;;
090116;0400;;6,39999;;
090116;0500;;13,2;;
090116;0600;;15,1;;
090116;0700;;16,1;;
090116;0800;;26,3;;
090116;0900;;44,3;;
090116;1000;;25,5;;
090116;1100;;12,8;;
090116;1200;;7;;
090116;1300;;5,3;;
090116;1400;;8,39998;;
090116;1500;;6,7;;
090116;1600;;23,1;;
090116;1700;;7,6;;
090116;1800;;7,6;;
090116;1900;;16,4;;
090116;2000;;12;;
090116;2100;;9,79999;;
090116;2200;;7,3;;
090116;2300;;7,2;;
090117;0000;;6,6;;
090117;0100;;6,8;;
090117;0200;;4,3;;
090117;0300;;3,7;;
090117;0400;;3,8;;
090117;0500;;0,9;;
090117;0600;;3,1;;
090117;0700;;8,79999;;
090117;0800;;19,2;;
090117;0900;;12,7;;
090117;1000;;9,09998;;
090117;1100;;6,2;;
090117;1200;;3,3;;
090117;1300;;5,2;;
090117;1400;;3,6;;
090117;1500;;16,7;;
090117;1600;;21,5;;
090117;1700;;2,2;;
090117;1800;;2,4;;
090117;1900;;5;;
090117;2000;;4,3;;
090117;2100;;5,2;;
090117;2200;;3,2;;
090117;2300;;2,5;;
090118;0000;;4,39999;;
090118;0100;;9,09998;;
090118;0200;;20,4;;
090118;0300;;22,1;;
090118;0400;;22,4;;
090118;0500;;3,1;;
090118;0600;;23,2;;
090118;0700;;14;;
090118;0800;;8;;
090118;0900;;5,5;;
090118;1000;;6,1;;
090118;1100;;13,5;;
090118;1200;;17,4;;
090118;1300;;10,5;;
090118;1400;;6,7;;
090118;1500;;11,1;;
090118;1600;;19,8;;
090118;1700;;20;;
090118;1800;;10,4;;
090118;1900;;7,39999;;
090118;2000;;4,5;;
090118;2100;;5,39999;;
090118;2200;;5;;
090118;2300;;4,39999;;
090119;0000;;2,5;;
090119;0100;;4,2;;
090119;0200;;5,89999;;
090119;0300;;4,39999;;
090119;0400;;2,5;;
090119;0500;;3,2;;
090119;0600;;17,1;;
090119;0700;;15,3;;
090119;0800;;16,2;;
090119;0900;;10,9;;
090119;1000;;20,7;;
090119;1100;;15,8;;
090119;1200;;13,7;;
090119;1300;;25,1;;
090119;1400;;25,5;;
090119;1500;;26,1;;
090119;1600;;21,4;;
090119;1700;;2,8;;
090119;1800;;15;;
090119;1900;;9,79999;;
090119;2000;;20,5;;
090119;2100;;22,4;;
090119;2200;;49,4;;
090119;2300;;64;;
090120;0000;;44,7;;
090120;0100;;23,4;;
090120;0200;;15,4;;
090120;0300;;10,5;;
090120;0400;;5,8;;
090120;0500;;1,9;;
090120;0600;;2,6;;
090120;0700;;2,6;;
090120;0800;;2,5;;
090120;0900;;21,1;;
090120;1000;;38,7;;
090120;1100;;39;;
090120;1200;;35,1;;
090120;1300;;20,8;;
090120;1400;;10,8;;
090120;1500;;9,29999;;
090120;1600;;7,7;;
090120;1700;;4,7;;
090120;1800;;14,7;;
090120;1900;;19,7;;
090120;2000;;11,8;;
090120;2100;;17,6;;
090120;2200;;11,9;;
090120;2300;;9,7;;
090121;0000;;6,8;;
090121;0100;;4,2;;
090121;0200;;2,2;;
090121;0300;;2,6;;
090121;0400;;4,8;;
090121;0500;;6,6;;
090121;0600;;9,39998;;
090121;0700;;16;;
090121;0800;;32,3;;
090121;0900;;44,2;;
090121;1000;;47;;
090121;1100;;28,3;;
090121;1200;;27,6;;
090121;1300;;32,9;;
090121;1400;;18;;
090121;1500;;9;;
090121;1600;;5,39999;;
090121;1700;;12,2;;
090121;1800;;10,8;;
090121;1900;;17,4;;
090121;2000;;19,3;;
090121;2100;;12,5;;
090121;2200;;7,6;;
090121;2300;;5,2;;
090122;0000;;3,7;;
090122;0100;;5,89999;;
090122;0200;;6,8;;
090122;0300;;5,7;;
090122;0400;;6;;
090122;0500;;27,1;;
090122;0600;;22;;
090122;0700;;31,3;;
090122;0800;;19,5;;
090122;0900;;17,6;;
090122;1000;;29,5;;
090122;1100;;40,7;;
090122;1200;;47,2;;
090122;1300;;32,2;;
090122;1400;;19,1;;
090122;1500;;10,8;;
090122;1600;;9,7;;
090122;1700;;23,9;;
090122;1800;;17,3;;
090122;1900;;9,5;;
090122;2000;;16,1;;
090122;2100;;19,3;;
090122;2200;;13,4;;
090122;2300;;8,09998;;
090123;0000;;5,6;;
090123;0100;;5,6;;
090123;0200;;6,39999;;
090123;0300;;4,7;;
090123;0400;;2,9;;
090123;0500;;2,5;;
090123;0600;;13,5;;
090123;0700;;8,7;;
090123;0800;;6,1;;
090123;0900;;6,2;;
090123;1000;;21,4;;
090123;1100;;42;;
090123;1200;;;;
090123;1300;;;;
090123;1400;;;;
090123;1500;;;;
090123;1600;;;;
090123;1700;;;;
090123;1800;;;;
090123;1900;;;;
090123;2000;;;;
090123;2100;;;;
090123;2200;;;;
090123;2300;;;;
090124;0000;;;;
090124;0100;;;;
090124;0200;;;;
090124;0300;;;;
090124;0400;;;;
090124;0500;;;;
090124;0600;;;;
090124;0700;;;;
090124;0800;;22;;
090124;0900;;2,3;;
090124;1000;;3,3;;
090124;1100;;3,5;;
090124;1200;;4,5;;
090124;1300;;5,5;;
090124;1400;;7,8;;
090124;1500;;7,2;;
090124;1600;;11;;
090124;1700;;16;;
090124;1800;;10,3;;
090124;1900;;5,89999;;
090124;2000;;3,4;;
090124;2100;;3,1;;
090124;2200;;2,6;;
090124;2300;;1,7;;
090125;0000;;4,6;;
090125;0100;;13;;
090125;0200;;19,3;;
090125;0300;;16;;
090125;0400;;13,5;;
090125;0500;;16,8;;
090125;0600;;12,3;;
090125;0700;;10,3;;
090125;0800;;6,39999;;
090125;0900;;2,5;;
090125;1000;;2,4;;
090125;1100;;1,4;;
090125;1200;;1,1;;
090125;1300;;2,1;;
090125;1400;;2,5;;
090125;1500;;1,8;;
090125;1600;;2,2;;
090125;1700;;2,3;;
090125;1800;;3,7;;
090125;1900;;3,1;;
090125;2000;;3,6;;
090125;2100;;4,6;;
090125;2200;;5,3;;
090125;2300;;6;;
090126;0000;;7;;
090126;0100;;8,09998;;
090126;0200;;5,2;;
090126;0300;;3,5;;
090126;0400;;6,3;;
090126;0500;;10;;
090126;0600;;7,7;;
090126;0700;;10,1;;
090126;0800;;13,4;;
090126;0900;;1;;
090126;1000;;2,5;;
090126;1100;;5,6;;
090126;1200;;6,6;;
090126;1300;;11,9;;
090126;1400;;13,3;;
090126;1500;;9,7;;
090126;1600;;8;;
090126;1700;;5,2;;
090126;1800;;8,29999;;
090126;1900;;15,8;;
090126;2000;;8,09998;;
090126;2100;;1;;
090126;2200;;3,1;;
090126;2300;;5,2;;
090127;0000;;6;;
090127;0100;;5,89999;;
090127;0200;;5,89999;;
090127;0300;;3,8;;
090127;0400;;3,2;;
090127;0500;;4,5;;
090127;0600;;3,2;;
090127;0700;;3,7;;
090127;0800;;5,3;;
090127;0900;;10,7;;
090127;1000;;11,1;;
090127;1100;;15,6;;
090127;1200;;11,3;;
090127;1300;;11,4;;
090127;1400;;14,4;;
090127;1500;;9,39998;;
090127;1600;;6;;
090127;1700;;8,79999;;
090127;1800;;14,9;;
090127;1900;;19,8;;
090127;2000;;16,9;;
090127;2100;;6,3;;
090127;2200;;7,1;;
090127;2300;;6,3;;
090128;0000;;5,3;;
090128;0100;;6,3;;
090128;0200;;5,7;;
090128;0300;;5,39999;;
090128;0400;;4,6;;
090128;0500;;2,7;;
090128;0600;;2,7;;
090128;0700;;5;;
090128;0800;;4,7;;
090128;0900;;5,8;;
090128;1000;;13,1;;
090128;1100;;19,1;;
090128;1200;;15,5;;
090128;1300;;16,6;;
090128;1400;;19,7;;
090128;1500;;22,2;;
090128;1600;;23,3;;
090128;1700;;19,8;;
090128;1800;;12;;
090128;1900;;7;;
090128;2000;;4,1;;
090128;2100;;1,4;;
090128;2200;;3;;
090128;2300;;3,4;;
090129;0000;;4,7;;
090129;0100;;4,6;;
090129;0200;;3,2;;
090129;0300;;2,6;;
090129;0400;;2,8;;
090129;0500;;4,6;;
090129;0600;;4,8;;
090129;0700;;5,6;;
090129;0800;;12,4;;
090129;0900;;27,8;;
090129;1000;;25,6;;
090129;1100;;23,2;;
090129;1200;;22,1;;
090129;1300;;17,5;;
090129;1400;;19,4;;
090129;1500;;13,6;;
090129;1600;;8,29999;;
090129;1700;;6;;
090129;1800;;6,8;;
090129;1900;;9,89998;;
090129;2000;;13,2;;
090129;2100;;4,1;;
090129;2200;;5,1;;
090129;2300;;5,8;;
090130;0000;;4,89999;;
090130;0100;;4,3;;
090130;0200;;3,4;;
090130;0300;;1,9;;
090130;0400;;2,6;;
090130;0500;;5,1;;
090130;0600;;5,39999;;
090130;0700;;4;;
090130;0800;;3,7;;
090130;0900;;3,5;;
090130;1000;;4,89999;;
090130;1100;;8,59998;;
090130;1200;;7,1;;
090130;1300;;10,2;;
090130;1400;;11,3;;
