FECHA (YYMMDD);HORA (HHMM);;
050105;1100;3,2;
050105;1200;3,8;
050105;1300;3,9;
050105;1400;4;
050105;1500;3,5;
050105;1600;3,8;
050105;1700;4,39999;
050105;1800;4,2;
050105;1900;4,1;
050105;2000;3,7;
050105;2100;2,9;
050105;2200;1,2;
050105;2300;0,7;
050106;0000;;
050106;0100;0,2;
050106;0200;0,3;
050106;0300;0,2;
050106;0400;0,2;
050106;0500;0,2;
050106;0600;0,2;
050106;0700;0,0999998;
050106;0800;0,5;
050106;0900;0,799997;
050106;1000;1,2;
050106;1100;1,9;
050106;1200;3,2;
050106;1300;3,6;
050106;1400;3,2;
050106;1500;3,5;
050106;1600;3,5;
050106;1700;4,3;
050106;1800;4,89999;
050106;1900;4,89999;
050106;2000;4,6;
050106;2100;3,6;
050106;2200;2,3;
050106;2300;1,3;
050107;0000;;
050107;0100;0,7;
050107;0200;0,5;
050107;0300;0,4;
050107;0400;0,0999998;
050107;0500;0,0999998;
050107;0600;0,2;
050107;0700;0,2;
050107;0800;0,2;
050107;0900;0,9;
050107;1000;1,7;
050107;1100;2,1;
050107;1200;2,6;
050107;1300;2,5;
050107;1400;3,1;
050107;1500;2,9;
050107;1600;4;
050107;1700;4,5;
050107;1800;4,6;
050107;1900;4,3;
050107;2000;4,2;
050107;2100;3,8;
050107;2200;2,2;
050107;2300;1,4;
050108;0000;;
050108;0100;0,3;
050108;0200;0,4;
050108;0300;0,2;
050108;0400;0,3;
050108;0500;0,799997;
050108;0600;0,5;
050108;0700;0,7;
050108;0800;1,1;
050108;0900;0,7;
050108;1000;0,799997;
050108;1100;0,799997;
050108;1200;1,1;
050108;1300;2;
050108;1400;3,6;
050108;1500;4,6;
050108;1600;4,8;
050108;1700;4,6;
050108;1800;5;
050108;1900;4,5;
050108;2000;4,8;
050108;2100;4,3;
050108;2200;2,7;
050108;2300;1,1;
050109;0000;;
050109;0100;0,799997;
050109;0200;0,2;
050109;0300;0,2;
050109;0400;0,2;
050109;0500;0,3;
050109;0600;0,3;
050109;0700;0,2;
050109;0800;0,599998;
050109;0900;1,4;
050109;1000;2,1;
050109;1100;3,2;
050109;1200;3,5;
050109;1300;3,5;
050109;1400;3,7;
050109;1500;3,8;
050109;1600;3,9;
050109;1700;4,3;
050109;1800;4,89999;
050109;1900;4,8;
050109;2000;4,89999;
050109;2100;3,7;
050109;2200;1,3;
050109;2300;0,9;
050110;0000;;
050110;0100;0,7;
050110;0200;0,4;
050110;0300;0,3;
050110;0400;0,3;
050110;0500;0,0999998;
050110;0600;0,2;
050110;0700;0,0999998;
050110;0800;0,2;
050110;0900;0,7;
050110;1000;1,8;
050110;1100;2,1;
050110;1200;2,4;
050110;1300;2,7;
050110;1400;2,5;
050110;1500;2,8;
050110;1600;3,6;
050110;1700;3,9;
050110;1800;3,8;
050110;1900;4,3;
050110;2000;4,2;
050110;2100;3,2;
050110;2200;2,5;
050110;2300;0,7;
050111;0000;;
050111;0100;0,0999998;
050111;0200;0,4;
050111;0300;0,3;
050111;0400;0,2;
050111;0500;0,2;
050111;0600;0,2;
050111;0700;0,9;
050111;0800;1,1;
050111;0900;0,9;
050111;1000;0,599998;
050111;1100;0,599998;
050111;1200;1,3;
050111;1300;1,9;
050111;1400;3,5;
050111;1500;4,1;
050111;1600;3,7;
050111;1700;4,39999;
050111;1800;4,3;
050111;1900;4,3;
050111;2000;4,5;
050111;2100;4,1;
050111;2200;3,1;
050111;2300;1,2;
050112;0000;;
050112;0100;0,3;
050112;0200;0,3;
050112;0300;0,3;
050112;0400;0,0999998;
050112;0500;0,0999998;
050112;0600;0,2;
050112;0700;0,2;
050112;0800;0,2;
050112;0900;0,599998;
050112;1000;2;
050112;1100;2,8;
050112;1200;3,1;
050112;1300;2,9;
050112;1400;3,4;
050112;1500;3,4;
050112;1600;3,4;
050112;1700;3,5;
050112;1800;4,39999;
050112;1900;4,8;
050112;2000;4,8;
050112;2100;3,8;
050112;2200;2,5;
050112;2300;0,599998;
050113;0000;;
050113;0100;0,4;
050113;0200;0,4;
050113;0300;0,4;
050113;0400;0,3;
050113;0500;0,3;
050113;0600;0,5;
050113;0700;0,4;
050113;0800;0,9;
050113;0900;1,5;
050113;1000;2,9;
050113;1100;3,5;
050113;1200;3,1;
050113;1300;2,9;
050113;1400;3,3;
050113;1500;3,4;
050113;1600;4,39999;
050113;1700;4,89999;
050113;1800;5,2;
050113;1900;4,5;
050113;2000;4,39999;
050113;2100;3,5;
050113;2200;2,1;
050113;2300;1,7;
050114;0000;;
050114;0100;1,5;
050114;0200;0,9;
050114;0300;0,9;
050114;0400;1,3;
050114;0500;1,2;
050114;0600;1,1;
050114;0700;0,9;
050114;0800;0,5;
050114;0900;1;
050114;1000;1,6;
050114;1100;1,7;
050114;1200;1,5;
050114;1300;2;
050114;1400;2,2;
050114;1500;2,4;
050114;1600;3,1;
050114;1700;;
050114;1800;;
050114;1900;;
050114;2000;;
050114;2100;;
050114;2200;;
050114;2300;;
050115;0000;;
050115;0100;;
050115;0200;;
050115;0300;;
050115;0400;;
050115;0500;;
050115;0600;;
050115;0700;;
050115;0800;;
050115;0900;;
050115;1000;;
050115;1100;;
050115;1200;;
050115;1300;;
050115;1400;;
050115;1500;;
050115;1600;;
050115;1700;;
050115;1800;;
050115;1900;;
050115;2000;;
050115;2100;;
050115;2200;;
050115;2300;;
050116;0000;;
050116;0100;;
050116;0200;;
050116;0300;;
050116;0400;;
050116;0500;;
050116;0600;;
050116;0700;;
050116;0800;;
050116;0900;;
050116;1000;;
050116;1100;;
050116;1200;;
050116;1300;;
050116;1400;;
050116;1500;;
050116;1600;;
050116;1700;;
050116;1800;;
050116;1900;;
050116;2000;;
050116;2100;;
050116;2200;;
050116;2300;;
050117;0000;;
050117;0100;1,1;
050117;0200;0,799997;
050117;0300;0,5;
050117;0400;0,3;
050117;0500;0,799997;
050117;0600;0,4;
050117;0700;0,3;
050117;0800;0,2;
050117;0900;0,4;
050117;1000;0,9;
050117;1100;1,6;
050117;1200;2;
050117;1300;2,7;
050117;1400;3,6;
050117;1500;3,4;
050117;1600;3,1;
050117;1700;3,6;
050117;1800;3,8;
050117;1900;4,2;
050117;2000;3,4;
050117;2100;2,8;
050117;2200;1,5;
050117;2300;1,2;
050118;0000;;
050118;0100;0,7;
050118;0200;0,5;
050118;0300;0,599998;
050118;0400;0,2;
050118;0500;0,3;
050118;0600;0,3;
050118;0700;0,4;
050118;0800;0,4;
050118;0900;0,9;
050118;1000;1,9;
050118;1100;2,8;
050118;1200;3,2;
050118;1300;3,8;
050118;1400;3,8;
050118;1500;3,8;
050118;1600;4,5;
050118;1700;4,7;
050118;1800;5,2;
050118;1900;4,6;
050118;2000;4,1;
050118;2100;2,8;
050118;2200;1,7;
050118;2300;1,3;
050119;0000;;
050119;0100;0,599998;
050119;0200;0,4;
050119;0300;0,2;
050119;0400;0,599998;
050119;0500;0,7;
050119;0600;0,3;
050119;0700;0,2;
050119;0800;0,2;
050119;0900;1,8;
050119;1000;2,5;
050119;1100;2,9;
050119;1200;3,3;
050119;1300;3,7;
050119;1400;3,6;
050119;1500;3,8;
050119;1600;3,9;
050119;1700;4,39999;
050119;1800;4,6;
050119;1900;4;
050119;2000;3,5;
050119;2100;2,8;
050119;2200;2,1;
050119;2300;1,3;
050120;0000;;
050120;0100;0,7;
050120;0200;0,599998;
050120;0300;0,7;
050120;0400;0,599998;
050120;0500;0,3;
050120;0600;0,4;
050120;0700;0,3;
050120;0800;0,4;
050120;0900;1,1;
050120;1000;1,1;
050120;1100;1,8;
050120;1200;2;
050120;1300;2,1;
050120;1400;1,9;
050120;1500;3,5;
050120;1600;3,5;
050120;1700;3,7;
050120;1800;4,3;
050120;1900;4,2;
050120;2000;3,3;
050120;2100;2,8;
050120;2200;2,8;
050120;2300;1,5;
050121;0000;;
050121;0100;0,9;
050121;0200;1;
050121;0300;0,7;
050121;0400;0,799997;
050121;0500;0,5;
050121;0600;0,4;
050121;0700;1,4;
050121;0800;0,799997;
050121;0900;1,1;
050121;1000;4,8;
050121;1100;3,6;
050121;1200;5,39999;
050121;1300;4,89999;
050121;1400;5,8;
050121;1500;5,6;
050121;1600;5,5;
050121;1700;5,1;
050121;1800;3,5;
050121;1900;3,5;
050121;2000;1,8;
050121;2100;1,7;
050121;2200;0,7;
050121;2300;0,4;
050122;0000;;
050122;0100;1,6;
050122;0200;1,3;
050122;0300;0,4;
050122;0400;0,2;
050122;0500;0,9;
050122;0600;0,7;
050122;0700;0,5;
050122;0800;0,5;
050122;0900;0,4;
050122;1000;0,9;
050122;1100;1,2;
050122;1200;1,2;
050122;1300;1,6;
050122;1400;1,9;
050122;1500;2,1;
050122;1600;2,5;
050122;1700;2,9;
050122;1800;4,1;
050122;1900;4,2;
050122;2000;4,1;
050122;2100;3,2;
050122;2200;1,8;
050122;2300;0,7;
050123;0000;;
050123;0100;0,7;
050123;0200;0,2;
050123;0300;0,2;
050123;0400;0,2;
050123;0500;0,2;
050123;0600;0,2;
050123;0700;0,3;
050123;0800;0,3;
050123;0900;0,4;
050123;1000;0,2;
050123;1100;0,799997;
050123;1200;1,5;
050123;1300;2;
050123;1400;1,6;
050123;1500;2,4;
050123;1600;2,8;
050123;1700;2,2;
050123;1800;2,2;
050123;1900;2,6;
050123;2000;2,8;
050123;2100;2,7;
050123;2200;1,9;
050123;2300;1,5;
050124;0000;;
050124;0100;0,4;
050124;0200;0,4;
050124;0300;0,4;
050124;0400;0,5;
050124;0500;1,4;
050124;0600;1,3;
050124;0700;0,9;
050124;0800;0,599998;
050124;0900;1,4;
050124;1000;2,5;
050124;1100;3;
050124;1200;2,6;
050124;1300;3,2;
050124;1400;3,1;
050124;1500;3,3;
050124;1600;3,8;
050124;1700;3,9;
050124;1800;3,7;
050124;1900;4,8;
050124;2000;5,1;
050124;2100;4,39999;
050124;2200;3,3;
050124;2300;1,1;
050125;0000;;
050125;0100;0,4;
050125;0200;0,599998;
050125;0300;0,7;
050125;0400;0,799997;
050125;0500;0,4;
050125;0600;0,3;
050125;0700;0,599998;
050125;0800;0,599998;
050125;0900;2,4;
050125;1000;2,3;
